title,channel,publishedAt,views,likes,comments,published_hour,published_day,like_ratio,comment_ratio,GeminiCategory
Bangkok Trip starts & First Meet after Shaadi,Wanderers Live,2025-06-18 07:40:29+00:00,3107474,116767,1580,7,Wednesday,0.03757617923754149,0.0005084515590476381,Entertainment
The RajaSaab Telugu Teaser | Prabhas | Maruthi | Thaman | TG Vishwa Prasad | Dec 5 2025,People Media Factory,2025-06-16 06:05:42+00:00,17874231,628850,17069,6,Monday,0.03518193314162718,0.0009549501738004841,Gaming
The Rise and Fall of Siddharth Abhimanyu | Thani Oruvan - Back to Back Scenes | Jayam Ravi | Sun NXT,Sun NXT,2025-06-18 10:30:39+00:00,332210,4995,104,10,Wednesday,0.015035670208602992,0.00031305499533427653,News
NEW! Taarak Mehta Ka Ooltah Chashmah | Ep 4426 | 17 June 2025 | Teaser,Sony SAB,2025-06-17 15:30:10+00:00,3056540,42657,839,15,Tuesday,0.01395597636543281,0.0002744933814051182,Education
"[HINDI] realme BMPS 2025 | Group A, B, C & D | Semi Finals Week 1 - Day 4",KRAFTON INDIA ESPORTS,2025-06-17 15:55:38+00:00,2984247,79431,378,15,Tuesday,0.02661676463107779,0.0001266651185374401,Tech
EMIWAY BANTAI - PAISA PAISA | ( MUSIC BY TONY JAMES ) | OFFICIAL MUSIC VIDEO,Emiway Bantai,2025-06-16 19:44:49+00:00,2042225,246534,19021,19,Monday,0.12071833416983926,0.009313861107370638,How-To
World’s Best Cricketers Vs Impossible Batting Challenge 🏏,Red Bull,2025-06-16 11:01:32+00:00,6390161,233398,5611,11,Monday,0.036524588347617536,0.0008780686433409111,nan
GULZAAR CHHANIWALA - Tandav ( Official Video ) | New Haryanvi Song 2025,Gulzaar Chhaniwala,2025-06-17 07:50:27+00:00,596772,45281,5750,7,Tuesday,0.0758765491678564,0.00963517055089716,nan
Ethirneechal Thodargiradhu - Preview | 19 June 2025 | Tamil Serial | Sun TV,Sun TV,2025-06-19 01:45:06+00:00,668560,10482,226,1,Thursday,0.015678473136292927,0.00033803996649515376,nan
Pandian Stores 2 | 18th to 21st June 2025 - Promo,Vijay Television,2025-06-18 11:09:01+00:00,2750377,54131,317,11,Wednesday,0.019681301872434217,0.00011525692659588122,nan
Kuberaa Official Trailer – Tamil | Dhanush | Nagarjuna | Rashmika Mandanna | Sekhar Kammula | DSP,Aditya Music Tamil,2025-06-15 16:34:33+00:00,7017909,190925,0,16,Sunday,0.02720539693518397,0.0,nan
Ayyanar Thunai | 18th to 21st June 2025 - Promo,Vijay Television,2025-06-18 11:04:34+00:00,1918637,42474,295,11,Wednesday,0.022137590383173054,0.00015375498335537156,nan
Our New Car DEFENDER met with an Accident PRANK😂,Fukra Insaan,2025-06-15 08:17:35+00:00,7820659,369890,10271,8,Sunday,0.04729652577870995,0.0013133164353541051,nan
പ്രസവിച്ച് കിടക്കുന്ന മകളെ കാണാൻ മരുമകൻ വന്നാൽ../rubeenasiraj/malayalam shortfilm,Rubeena siraj,2025-06-17 05:40:00+00:00,221808,1150,96,5,Tuesday,0.0051846642140950736,0.00043280675178532783,nan
ക്യൂട്നെസ്സ് unlimited /kudosmedia/comedyvideo,Kudos Media,2025-06-18 10:38:43+00:00,269378,15893,224,10,Wednesday,0.058998878898796486,0.0008315452635330279,nan
